eval_mode,direction,stage,accuracy,acc_ci_lo,acc_ci_hi,majority_chance,var_removed,n_train,n_test,pooling,layer,drop_vs_pre
in_distribution,(none),pre,0.93,0.895,0.965,0.625,0.0,800,200,last_token,13,
in_distribution,logistic,post,0.92,0.88,0.955,0.625,0.013316259503099937,800,200,last_token,13,0.010000000000000009
in_distribution,diffmeans,post,0.91,0.87,0.945,0.625,0.1244060314094127,800,200,last_token,13,0.020000000000000018
in_distribution,pca,post,0.87,0.8248749999999999,0.915,0.625,0.15740091859529326,800,200,last_token,13,0.06000000000000005
transfer,(none),pre,0.75,0.716625,0.785,0.575,0.0,400,600,last_token,13,
transfer,logistic,post,0.74,0.705,0.775,0.575,0.00799985633755844,400,600,last_token,13,0.010000000000000009
transfer,diffmeans,post,0.7316666666666667,0.6966666666666667,0.7666666666666667,0.575,0.15250019976052417,400,600,last_token,13,0.018333333333333313
transfer,pca,post,0.7166666666666667,0.68,0.7516666666666667,0.575,0.18891681380766423,400,600,last_token,13,0.033333333333333326
in_distribution,(none),pre,0.9,0.85,0.94,0.625,0.0,800,200,mean_pooled,13,
in_distribution,logistic,post,0.895,0.845,0.935,0.625,0.023763732595058915,800,200,mean_pooled,13,0.0050000000000000044
in_distribution,diffmeans,post,0.895,0.85,0.935,0.625,0.07735250132150037,800,200,mean_pooled,13,0.0050000000000000044
in_distribution,pca,post,0.88,0.835,0.925,0.625,0.09191253181025909,800,200,mean_pooled,13,0.020000000000000018
transfer,(none),pre,0.715,0.6783333333333333,0.75,0.575,0.0,400,600,mean_pooled,13,
transfer,logistic,post,0.7133333333333334,0.675,0.7483333333333333,0.575,0.008573005139181796,400,600,mean_pooled,13,0.0016666666666665941
transfer,diffmeans,post,0.725,0.6899583333333332,0.76,0.575,0.08672547080109735,400,600,mean_pooled,13,-0.010000000000000009
transfer,pca,post,0.7083333333333334,0.67,0.7433333333333333,0.575,0.10315360543571483,400,600,mean_pooled,13,0.006666666666666599
