label,pooling,layer,best_C,n_train,n_test,accuracy,acc_ci_lo,acc_ci_hi,acc[honest],ci_lo[honest],ci_hi[honest],acc[deceptive],ci_lo[deceptive],ci_hi[deceptive],acc[role_based],ci_lo[role_based],ci_hi[role_based],acc[instructed],ci_lo[instructed],ci_hi[instructed],acc[instrumental],ci_lo[instrumental],ci_hi[instrumental],acc[prosocial],ci_lo[prosocial],ci_hi[prosocial],acc[self_serving],ci_lo[self_serving],ci_hi[self_serving]
behavior,last_token,0,0.001,800,200,0.625,0.555,0.6901249999999999,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
strategy,last_token,0,0.001,800,200,0.4,0.33487500000000003,0.465,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
stake_structure,last_token,0,0.001,800,200,0.6,0.535,0.665125,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0
behavior,last_token,1,0.001,800,200,0.715,0.65,0.78,0.728,0.6456639226914818,0.8046922637195122,0.6933333333333334,0.5843885281385282,0.8000657894736842,,,,,,,,,,,,,,,
strategy,last_token,1,0.1,800,200,0.98,0.955,0.995,,,,,,,1.0,1.0,1.0,0.9833333333333333,0.9423007246376811,1.0,0.95,0.8867537890504176,1.0,,,,,,
stake_structure,last_token,1,1.0,800,200,0.99,0.975,1.0,,,,,,,,,,,,,,,,0.9875,0.9605263157894737,1.0,0.9916666666666667,0.9734454013906447,1.0
behavior,last_token,2,0.001,800,200,0.74,0.674875,0.800125,0.792,0.7226890756302521,0.8672965327143478,0.6533333333333333,0.5427472527472527,0.7605633802816901,,,,,,,,,,,,,,,
strategy,last_token,2,0.1,800,200,0.945,0.915,0.975,,,,,,,0.975,0.9374802215189874,1.0,0.95,0.8888888888888888,1.0,0.9,0.8153846153846154,0.9682663690476191,,,,,,
stake_structure,last_token,2,1.0,800,200,0.975,0.955,0.995,,,,,,,,,,,,,,,,0.975,0.9374802215189874,1.0,0.975,0.940677966101695,1.0
behavior,last_token,3,0.001,800,200,0.77,0.71,0.83,0.776,0.7039438596491228,0.8468048387096774,0.76,0.6666666666666666,0.8552631578947368,,,,,,,,,,,,,,,
strategy,last_token,3,0.1,800,200,0.965,0.94,0.99,,,,,,,1.0,1.0,1.0,0.9666666666666667,0.9179986338797814,1.0,0.9166666666666666,0.8412698412698413,0.9818262987012987,,,,,,
stake_structure,last_token,3,1.0,800,200,0.99,0.975,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.9833333333333333,0.954954954954955,1.0
behavior,last_token,4,0.001,800,200,0.795,0.74,0.85,0.8,0.7293072798274757,0.8682170542635659,0.7866666666666666,0.692283950617284,0.8765474378488077,,,,,,,,,,,,,,,
strategy,last_token,4,10.0,800,200,0.95,0.919875,0.98,,,,,,,1.0,1.0,1.0,0.8833333333333333,0.7930871828236825,0.9636363636363636,0.95,0.8905815972222222,1.0,,,,,,
stake_structure,last_token,4,1.0,800,200,0.995,0.985,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.9916666666666667,0.9734454013906447,1.0
behavior,last_token,5,0.001,800,200,0.81,0.755,0.86,0.832,0.7679666666666667,0.8976739146138842,0.7733333333333333,0.6799871794871796,0.8656965174129353,,,,,,,,,,,,,,,
strategy,last_token,5,1.0,800,200,0.985,0.965,1.0,,,,,,,1.0,1.0,1.0,0.9833333333333333,0.9411764705882353,1.0,0.9666666666666667,0.9180327868852459,1.0,,,,,,
stake_structure,last_token,5,1.0,800,200,0.99,0.975,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.9833333333333333,0.954954954954955,1.0
behavior,last_token,6,0.001,800,200,0.825,0.775,0.875,0.84,0.7758580406058653,0.9047806524184476,0.8,0.7120397008055236,0.8875,,,,,,,,,,,,,,,
